Film,Imdb,Director,Description,Star,Time,Poster,Date
Tháng Năm Rực Rỡ,9.3,Nguyễn Quang Dũng,"Tháng Năm Rực Rỡ mang đến hai câu chuyện song song về những cô nữ sinh trẻ tuổi tràn đầy hoài bão và những người phụ nữ trung niên đã nếm trải qua cay ngọt cuộc đời. Khi số phận và tính cách mỗi người đã thay đổi theo thời gian, liệu nhóm bạn nữ quái còn có thể cùng nhau thực hiện ước mơ dang dở khi xưa? Câu chuyện thời tuổi trẻ được đặt trong những năm 1970, còn câu chuyện hiện tại diễn ra vào năm 2000, khi Việt Nam chuẩn bị bước sang thế kỷ 21.","['Thanh Hằng', 'Jun Vũ', 'Anh Thư', 'Mỹ Duyên', 'Hoàng Oanh', 'Trịnh Thảo', 'Hồng Ánh', 'Hoàng Yến Chibi', 'Mỹ Uyên', 'Khổng Tú Quỳnh', 'Tuyền Mập', 'Minh Thảo']",118phút,https://i.moveek.com/media/cache/poster_fixed/media/0d0bcef9b27d2daf2129ad019631be3adfea9412.jpg ,2018-09-03
Phan Văn Khải - Người Con Đất Thép,5,Lâm Tư,"Bộ phim tài liệu do VTV sản xuất để tưởng nhớ Nguyên Thủ tướng Phan Văn Khải với hình ảnh, tấm lòng và trí tuệ của một người con “Đất thép thành đồng”.",No actor,30phút,https://i.moveek.com/media/cache/poster_fixed/media/bd5e9780d229b9c4edca8d1c91d24cd9600be80f.jpg ,2018-03-20
Ông Ngoại Tuổi 30,8.2,Võ Thanh Hòa,"Ông Ngoại Tuổi 30 là câu chuyện xoay quanh anh chàng phát thanh viên điển trainổi tiếng Sơn Huy. Ở tuổi hơn 30, Sơn Huy có một cuộc sống đáng mơ ước với sự nghiệp ổn định, nhà cửa sang trọng, có người yêu xinh đẹp và nóng bỏng… Cho đến một ngày, cuộc sống mỹ mãn đó bị xáo trộn khi một cô gái trẻ đem theo cậu con trai nhỏ đến nhận anh là cha. Trớ trêu thay đây cũng là cô gái đã gọi điện đến chương trình do Sơn Huy phụ trách nhờ tư vấn có nên đi tìm gặp cha của mình sau bao năm thất lạc và chính anh đã đưa ra lời khuyên là “Nên”.","['Trịnh Thăng Bình', 'Kiều Trinh Xíu', 'Coca Hoàng Gia Bảo', 'Hạ Vi', 'Hoàng Rapper', 'Hoàng Sơn', 'Tùng Leo', 'Võ Cảnh', 'Hoàng Phi', 'Phương Trinh Jolie', 'Chu Diệp Anh', 'Lou Hoàng']",108phút,https://i.moveek.com/media/cache/poster_fixed/media/74a07ec449f0baf4e404db85b9b5bf031c2097b6.jpg ,2018-03-30
Yêu Em Bất Chấp,4.7,Văn Công Viễn,"Khôi là một chàng sinh viên có ngoại hình xuề xòa, mê truyện tranh, tốt tính. Một lần vô tình cứu được cô nàng bí ẩn đang say khướt, cả hai bắt đầu bước vào mối quan hệ khó nắm bắt nhưng cũng đầy hấp lực. Cô gái có tính tình kì lạ, ngổ ngáo ấy có ngoại hình đúng như cô gái trong mơ mà Khôi luôn ao ước.","['Ngọc Thanh Tâm', 'Hoài Lâm', 'Trang Trần', 'Đàm Vĩnh Hưng', 'Thúy Vy']",100phút,https://i.moveek.com/media/cache/poster_fixed/media/124bfbdb9209b4f94c2a5d5c915bfdf4fea8c62f.jpg ,2018-06-04
Hạ Cuối Tình Đầu,5,Trương Quang Thịnh,"Chuyện phim xoay quanh 3 cô nàng Lưu Ly mạnh mẽ, cá tính, thông minh. Khánh Mai dịu dàng, mềm mại. Thanh Thảo trong sáng, hồn nhiên. 18 tuổi, ba cô gái bước vào đời với quyết định phải “nghĩ khác, sống khác”. Ngay trong đêm sinh nhật mừng tuổi 18 của Lưu Ly, họ đã bị “sụp hầm” bởi hai chàng sinh viên lãng du đa tài. Nào ngờ đây lại là cạm bẫy đầu tiên phải đối mặt của 3 cô nàng khi mới vừa 18. 
Tình đầu là mối tình đẹp nhất, nhưng đáng tiếc thay nó cũng là mối tình đầu của cô bạn thân. Sẽ ra sao khi cả hai đã trót yêu cùng một người, cùng một thời điểm?","['Quỳnh Hương Venus', 'Huỳnh Hồng Loan', 'Gia Linh', 'Phạm Hoàng Nguyên', 'Gin Tuấn Kiệt', 'Hồng Vân', 'Cát Tường', 'Kiều Minh Tuấn']",87phút,https://i.moveek.com/media/cache/poster_fixed/media/3539f5ccebff93c935078cacffc4b9af7cbea4ab.jpg ,2018-04-13
Lật Mặt: 3 Chàng Khuyết,8.1,Lý Hải,"Lật Mặt: Ba Chàng Khuyết là câu chuyện đặc biệt về 3 chàng trai. Đức với tính cách ba phải, hoạt ngôn đến “lắm điều”; Lộc, một người có tính tình cố chấp và nóng nảy; và Tâm, một người hiền lành, cởi mở và luôn sẵn lòng giúp đỡ mọi người.","['Kiều Minh Tuấn', 'Lý Hải', 'Huy Khánh', 'Song Luân', 'Nene', 'Tú Trinh', 'Tiết Cương', 'Cát Phượng', 'Phương Bình', 'Diệu Đức', 'Hoàng Mèo', 'Thanh Tân', 'Lương Mỹ', 'Phi Điểu']",103phút,https://i.moveek.com/media/cache/poster_fixed/media/5ff01a9c0fd08677d593ce4e7a346cebbfff4f96.jpg ,2018-04-20
100 Ngày Bên Em,8.1,Vũ Ngọc Phượng,100 Ngày Bên Em là câu chuyện về hai con người tưởng chừng như ở hai thế giới khác nhau nhưng nhờ một “biến cố” mà đã tìm thấy tình yêu của đời mình.,"['Jun Phạm', 'Khả Ngân', 'Lê Tam Triều Dâng', 'B Trần', 'Gin Tuấn Kiệt', 'NSƯT Mỹ Uyên', 'Chiều Xuân']",99phút,https://i.moveek.com/media/cache/poster_fixed/media/53d8610b59dbd721661e57e2bd9cfd61675e3b6b.jpg ,2018-04-25
11 Niềm Hy Vọng,7.4,Robie Trường,"Lấy bối cảnh giả định tại một thành phố biển năng động của Việt Nam, nơi diễn ra giải đấu bóng đá uy tín giữa các nước trong khu vực, phim là cuộc hành trình đi tìm chính mình của Phong (Nhan Phúc Vinh), một cầu thủ dự bị luôn mang trong mình tình yêu cháy bỏng dành cho bóng đá. Trên con đường theo đuổi đam mê, anh vấp phải sự ngăn cản từ gia đình, những thử thách của cuộc sống, tình yêu, tình bạn… Đôi khi nó đẩy anh và đồng đội của mình đến những cám dỗ khôn lường. Khoác lên mình màu áo đỏ kiêu hãnh, niềm tự hào của dân tộc, liệu cả đội có trở thành những chiến binh, chiến đấu cho màu cờ sắc áo?","['Nhan Phúc Vinh', 'Hoàng Phi', 'Hiếu Nguyễn', 'Hùng Chilhyun', 'Rima Thanh Vy', 'Thanh Tú', 'Lâm Thắng', 'Võ Hoài Nam', 'NSUT Công Ninh', 'Trọng Hải']",110phút,https://i.moveek.com/media/cache/poster_fixed/media/782cdf33e39a9fbf22931efad533b29cfe034630.jpg ,2018-11-05
Yêu Nữ Siêu Quậy,5.0,Nguyễn Ngọc Hùng,"Câu chuyện cảm động về tình yêu khi người em yêu thầm người anh nuôi. Trong khi đó, Khanh chỉ xem Ngân như là người thân duy nhất, người em nũng nịu của mình mà thôi. Và tình yêu, Khanh chỉ dành duy nhất cho Lê Trinh. Với Ngân, tình cảm thắm thiết giữa hai anh em từ nhỏ, với trò chơi cô dâu chú rể ngây thơ, cho đến sự chăm sóc ân cần của Khanh khi bố mất đi càng làm cho Ngân nhầm tưởng Khanh chính là tình yêu của đời mình.","['Diệu Nhi', 'Thuận Nguyễn', 'Khả Như', 'Khương Ngọc', 'La Thành', 'Gia Bảo', 'Đỗ Duy Nam', 'Hải Triều', 'Tiểu Bảo Quốc', 'Trung Dân']",90phút,https://i.moveek.com/media/cache/poster_fixed/media/f390dd10e11214bc6994ff6f1b58d4b1897af60e.jpg ,2018-11-05
Nhắm Mắt Thấy Mùa Hè,8.7,Cao Thúy Nhi,"Nhắm Mắt Thấy Mùa Hè là hành trình của cô gái tên Hạ khi đến thị trấn Higashikawa, Hokkaido, Nhật Bản để tìm cha. Hành trình của Hạ bước hướng mới – khám phá vùng đất có tuyết rơi vào mùa hè, nơi cha cô sống trong thời gian dài và tại đây Hạ gặp chàng trai Nhật Bản – Akira.","['Phương Anh Đào', 'Noriki Takimoto', 'Norihiko Takimoto', 'chú chó Hana', 'Ben Phạm', 'Sayaka Mitsuta', 'Mizuki Miyauchi', 'Akira Hatsusegawa', 'Diễm Thi', 'Khánh Ngân', 'Takafumi Akutsu', 'NSUT Công Ninh']",98phút,https://i.moveek.com/media/cache/poster_fixed/media/5a8a0397d17c3f2d49512dcd00089db7c6a1d9dd.jpg ,2018-05-25
Em Gái Mưa,6.8,Kawaii Nguyễn Tuấn Anh,"Câu chuyện lấy bối cảnh những năm đầu 2000 về Nguyễn Hà Vy, cô nữ sinh lớp 12A1 trường trung học Thanh Xuân tưởng chừng như sẽ ""kết thúc hời học sinh trong nhạt nhẽo"" mà không có lấy cho riêng mình một “kỷ niệm sâu sắc” nào thì bỗng gặp được thầy Minh Vũ trong đoàn giáo sinh đến trường thực tập.","['Mai Tài Phến', 'Lê Thùy LInh', 'Phương Anh Đào', 'Tiến Vũ', 'Misoa', 'Trang Hý', 'Đan Trường', 'Việt Hương', 'Hương Tràm', 'NSUT Công Ninh', 'Trung Dân']",102phút,https://i.moveek.com/media/cache/poster_fixed/media/4a7b6bd3b7c07b5c57ab9b2fa602cd25a6de6b6b.jpg ,2018-01-06
Ống Kính Sát Nhân,8.3,Hứa Vĩ Văn,"K là thanh tra sáng giá nhất ở đồn cảnh sát. Anh say mê công việc, dường như cuộc sống không có gì ngoài giải quyết các vụ án phức tạp. Nhưng không may, một sự cố hi hữu khiến anh gián tiếp gây ra cái chết cho một nữ đồng nghiệp. Từ đây, uy tín của K bắt đầu xuống dốc.","['Hứa Vĩ Văn', 'Diễm My 9x', 'Kinh Quốc', 'Nguyễn Chánh Tín', 'Thương Tín', 'NSUT Công Ninh', 'Quang Sự']",110phút,https://i.moveek.com/media/cache/poster_fixed/media/cd2f40dc995d00f5c6f49546c9be73ed87483326.jpg ,2018-06-22
Lộ Mặt,2.5,Vĩnh Thuyên,"Phong trong một lần đi giao dịch “hàng” đã cầm nhầm túi của Trâm. Mặc dù đã tráo lại túi về nhưng ông Đại của Phong vẫn quyết tâm thủ tiêu Trâm để bịt đầu mối. Phong nhận nhiệm vụ, nhưng càng về sau lại nảy sinh tình cảm với Trâm. Đứng trước giữa hai sự lựa chọn, Phong sẽ quyết định như thế nào?.","['Minh Luân', 'Vĩnh Thuyên Kim', 'Hứa Minh Đạt', 'Mạc Văn Khoa', 'Lâm Vỹ Dạ']",90phút,https://i.moveek.com/media/cache/poster_fixed/media/78326a365d652e2c7a6290b752fe985e065962e3.png ,2018-06-29
Trường Học Bá Vương,3.6,Duy Joseph,"Diệp – một sát thủ siêu cấp bị truy sát và bất ngờ phải ngụy trang dưới hình dạng của một cậu học sinh trong một lớp học vô cùng bá đạo. Tại đây anh liên tục gặp phải những tình huống dở khóc, dở cười từ sự nghịch ngợm “ngoài sức tưởng tượng” của đám nhất quỷ nhì ma này. Và khi anh bắt đầu có tình cảm gắn bó với những con người của cuộc sống mới, cũng như tìm lại được những giá trị sống đích thực cho chính bản thân mình thì cũng là lúc cả ngôi trường bị đặt vào một tình huống vô cùng nguy hiểm…","['Wean Lê', 'Lê Hạ Anh', 'Nhan Phúc Vinh', 'Ngọc Thanh Tâm', 'Quỳnh Chi', 'Gin Tuấn Kiệt', 'Tùng Min']",98phút,https://i.moveek.com/media/cache/poster_fixed/media/df8330ebeec74a616364463265e73081f2324ec1.png ,2018-03-08
Tìm Vợ Cho Bà,7.3,Lương Trung Tín,"Long – một công tử nhà giàu, hào hoa số 1, nhưng không bao giờ tin vào điều gọi là ""tình yêu vĩnh cửu"". Vào sinh nhật tuổi 25 của mình, Long bị giang hồ truy đuổi vì món nợ cờ bạc khổng lồ. Nhưng anh sực nhớ đến lời hứa về việc thừa hưởng tài của bà nội. Oái ăm thay, điều kiện để anh có thể có được số gia sản khổng lồ đó là anh phải cưới vợ vào năm 25 tuổi ...","['ST 365', 'Jang Mi', 'POM', 'Tiểu Bảo Quốc']",87phút,https://i.moveek.com/media/cache/poster_fixed/media/b2b8d346c2d820cdc62ada5b9b38f883b14b2d0c.png ,2018-10-08
Song Lang,10.0,Leon Quang Lê,"Song Lang lấy bối cảnh vào những năm 70 - 80 của thế kỷ trước, xoay quanh những câu chuyện về đoàn cải lương Thiên Lý.","['Isaac', 'Liên Bỉnh Phát', 'Tú Quyên', 'Thanh Tú', 'Kiều Trinh']",101phút,https://i.moveek.com/media/cache/poster_fixed/media/3552a564d5a0f5b99b061fea90160949542dace7.jpg ,2018-08-17
Chàng Vợ Của Em,9.5,Charlie Nguyễn,"Cuộc sống thú vị của một gia đình có người đàn ông làm hậu phương vững chắc, để người phụ nữ đi “chinh chiến” bên ngoài.","['Thái Hoà', 'Phương Anh Đào', 'Thanh Trúc', 'Hứa Vĩ Văn', 'Vân Trang', 'Hồng Hạnh', 'Diễm My', 'Trung Dũng']",120phút,https://i.moveek.com/media/cache/poster_fixed/media/00eb4d5c2694224e5278c3fad1736378686223bb.jpg ,2018-08-24
Mùa Viết Tình Ca,9.2,Thắng Vũ,"Mùa Viết Tình Ca không phải là sân khấu toả sáng của bất cứ ai mà là bản hoà phối dành cho tất cả nhân vật, phim cũng không đặt các nhân vật vào giữa ánh hào quang và sự săn đón của showbiz mà đưa họ đi thật xa.","['Isaac', 'Phan Ngân', 'Suni Hạ Linh', 'Chí Tài', 'Phi Phụng', 'Hoàng Phi', 'Puka']",104phút,https://i.moveek.com/media/cache/poster_fixed/media/b78202f2fbb659978b271f964972f44a18d50a60.jpg ,2018-08-31
Hoán Đổi,9.3,Võ Thanh Hòa,"Câu chuyện về sự hoán đổi thân xác giữa 2 người nhân vật: ca sỹ Tiên Tiên và võ sư Mai Ngọc Hoa, chính sự hoán đổi này đã gây ra nhiều tình huống dở khóc, dở cười vì sự hiểu lầm của các nhân vật xung quanh. Ban đầu 2 nhân vật rất bỡ ngỡ vì sự hoán đổi này nên rất ghét nhau nhưng theo thời gian khi ở trong thân xác của đối phương, họ lại vô tình nhận ra được  những sai lầm của bản thân. Liệu họ có thể sữa chữa sai lầm và quay trở lại với thân xác của mình không?","['Nabi Nhã Phương', 'bé Kim Thư', 'La Thành', 'Việt Hương', 'Ngô Kiến Huy', 'Trấn Thành', 'Mai Bảo Ngọc', 'Huỳnh Lập', 'Hứa Minh Đạt', 'Khả Như']",97phút,https://i.moveek.com/media/cache/poster_fixed/media/4792c5306b00fd188f1ebb7882d098349eb64df2.jpg ,2018-08-31
Bao Giờ Hết Ế,9.1,Nguyễn Thành Vinh,"Thiên Kim - cô con gái độc nhất của gia tộc dính phải lời nguyền ""Yêu vào là chết"" nhưng thường xuyên bị gia đình mình: bà cố, bà ngoại và mẹ thúc giục chuyện hẹn hò, cưới xin.","['Thúy Vân', 'Đình Quân', 'Nguyễn Anh Tú', 'NSUT Thanh Hằng', 'Đàm Phương Linh', 'NSND Ngọc Giàu', 'NSUT Thoại Mỹ', 'NSƯT Thanh Nam', 'Cẩm Hà', 'Lâm Thắng', 'Hồng Thanh', 'Phát La', 'Hamiza', 'Long Đẹp Trai', 'Sỹ Toàn']",85phút,https://i.moveek.com/media/cache/poster_fixed/media/68f349a72eaabfd066577d1ddea06880148c5f74.jpg ,2018-09-14
Chú Ơi Đừng Lấy Mẹ Con,1.0,Đinh Tuấn Vũ,"Chú Ơi Đừng Lấy Mẹ Con là câu chuyện về Nhện, cậu học sinh tiểu học hiếu động. Từ nhỏ, Nhện sống với mẹ và được gia đình ngoại vô cùng yêu thương, chiều chuộng. Bỗng một ngày, Tiên – mẹ của Nhện – dẫn về một người đàn ông có tên Đông Bắc. Không chỉ có người đàn ông ấy, mà còn kéo theo cả một cô bé điệu đà và mít ướt tên Bảo Ngọc. Hai con người xa lạ ấy đã làm cuộc sống yên ả của Nhện trở nên xáo trộn với rất nhiều điều khó nói.","['An Nguy', 'Kiều Minh Tuấn', 'Hữu Khang', 'Will 365', 'Chu Diệp Anh', 'Lilly Nguyễn']",95phút,https://i.moveek.com/media/cache/poster_fixed/media/2633fef2efc72d2c5df3cd3eea56701d5744dfd5.jpg ,2018-09-21
Kế Hoạch Đổi Chồng,7.7,Trần Nhân Kiên,Tiếng sét ái tình đã khiến Thu Dung và Trọng Quân yêu và cưới nhau khi cả hai còn rất trẻ. Nhưng mọi chuyện thay đổi khi tình cảm của Quân dần phai nhạt sau cuộc hôn nhân 5 năm giữa họ. Quân bắt đầu tìm mọi cách để Dung chủ động nói lời chia tay mình.,"['Hoàng Yến Chibi', 'Quang Đăng', 'Trương Thanh Long']",90phút,https://i.moveek.com/media/cache/poster_fixed/media/26ba6136a1589c26462e3a74e8808d38f0f066a8.jpg ,2018-09-28
Đi Tìm Phong,5,Swann Dubus,Hành trình chuyển giới đầy chân thật và xúc động.,"['Anh Phong le', 'Lê Quốc Phong']",100phút,https://i.moveek.com/media/cache/poster_fixed/media/4a60a12a82aad440813e9d496326bea975f85893.jpg ,2018-12-10
Quý Cô Thừa Kế,6.7,Nguyễn Hoàng Duy,"Nhung, một cô tiểu thư đỏng đảnh, không biết cách đối xử với những người xung quanh, không kỹ năng về nữ công gia chánh. Để giúp cháu gái mình trở thành một người tốt hơn, bà ngoại của Nhung lên kế hoạch để giúp cháu gái trở thành người tốt hơn.","['Ngân Khánh', 'Song Luân', 'Sĩ Thanh', 'Quang Minh', 'Hồng Đào', 'Liên Bỉnh Phát']",110phút,https://i.moveek.com/media/cache/poster_fixed/media/44c8aa8ea51e3a5322d943462ea4867003667086.jpg ,2018-10-19
Người Bất Tử,7.1,Victor Vũ,Câu chuyện về cuộc đời thăng trầm với đầy rẫy những tham vọng và sự thù hận của Hùng – người đàn ông đã sống qua ba thế kỉ.,"['Quách Ngọc Ngoan', 'Ngọc Diệp', 'Jun Vũ', 'Thanh Tú', 'Cường Seven', 'Trương Thế Vinh', 'Chiều Xuân', 'Bùi Bài Bình', 'Vũ Tuấn Việt', 'Francois Negret']",130phút,https://i.moveek.com/media/cache/poster_fixed/media/f1ff43275ac8e255b13dfcd3369c1a7fa327bb2c.jpg ,2018-10-26
