Film,Imdb,Director,Description,Star,Time
Ông Ngoại Tuổi 30,82%,Võ Thanh Hòa,"Ông Ngoại Tuổi 30 là câu chuyện xoay quanh anh chàng phát thanh viên điển trainổi tiếng Sơn Huy. Ở tuổi hơn 30, Sơn Huy có một cuộc sống đáng mơ ước với sự nghiệp ổn định, nhà cửa sang trọng, có người yêu xinh đẹp và nóng bỏng… Cho đến một ngày, cuộc sống mỹ mãn đó bị xáo trộn khi một cô gái trẻ đem theo cậu con trai nhỏ đến nhận anh là cha. Trớ trêu thay đây cũng là cô gái đã gọi điện đến chương trình do Sơn Huy phụ trách nhờ tư vấn có nên đi tìm gặp cha của mình sau bao năm thất lạc và chính anh đã đưa ra lời khuyên là “Nên”.","['Trịnh Thăng Bình', 'Kiều Trinh Xíu', 'Coca Hoàng Gia Bảo', 'Hạ Vi', 'Hoàng Rapper', 'Hoàng Sơn', 'Tùng Leo', 'Võ Cảnh', 'Hoàng Phi', 'Phương Trinh Jolie', 'Chu Diệp Anh', 'Lou Hoàng']",108phút
Yêu Em Bất Chấp,47%,Văn Công Viễn,"Khôi là một chàng sinh viên có ngoại hình xuề xòa, mê truyện tranh, tốt tính. Một lần vô tình cứu được cô nàng bí ẩn đang say khướt, cả hai bắt đầu bước vào mối quan hệ khó nắm bắt nhưng cũng đầy hấp lực. Cô gái có tính tình kì lạ, ngổ ngáo ấy có ngoại hình đúng như cô gái trong mơ mà Khôi luôn ao ước.","['Ngọc Thanh Tâm', 'Hoài Lâm', 'Trang Trần', 'Đàm Vĩnh Hưng', 'Thúy Vy']",100phút
Hạ Cuối Tình Đầu,50%,Trương Quang Thịnh,"Chuyện phim xoay quanh 3 cô nàng Lưu Ly mạnh mẽ, cá tính, thông minh. Khánh Mai dịu dàng, mềm mại. Thanh Thảo trong sáng, hồn nhiên. 18 tuổi, ba cô gái bước vào đời với quyết định phải “nghĩ khác, sống khác”. Ngay trong đêm sinh nhật mừng tuổi 18 của Lưu Ly, họ đã bị “sụp hầm” bởi hai chàng sinh viên lãng du đa tài. Nào ngờ đây lại là cạm bẫy đầu tiên phải đối mặt của 3 cô nàng khi mới vừa 18. 
Tình đầu là mối tình đẹp nhất, nhưng đáng tiếc thay nó cũng là mối tình đầu của cô bạn thân. Sẽ ra sao khi cả hai đã trót yêu cùng một người, cùng một thời điểm?","['Quỳnh Hương Venus', 'Huỳnh Hồng Loan', 'Gia Linh', 'Phạm Hoàng Nguyên', 'Gin Tuấn Kiệt', 'Hồng Vân', 'Cát Tường', 'Kiều Minh Tuấn']",87phút
Lật Mặt: 3 Chàng Khuyết,81%,Lý Hải,"Lật Mặt: Ba Chàng Khuyết là câu chuyện đặc biệt về 3 chàng trai. Đức với tính cách ba phải, hoạt ngôn đến “lắm điều”; Lộc, một người có tính tình cố chấp và nóng nảy; và Tâm, một người hiền lành, cởi mở và luôn sẵn lòng giúp đỡ mọi người.","['Kiều Minh Tuấn', 'Lý Hải', 'Huy Khánh', 'Song Luân', 'Nene', 'Tú Trinh', 'Tiết Cương', 'Cát Phượng', 'Phương Bình', 'Diệu Đức', 'Hoàng Mèo', 'Thanh Tân', 'Lương Mỹ', 'Phi Điểu']",103phút
100 Ngày Bên Em,81%,Vũ Ngọc Phượng,100 Ngày Bên Em là câu chuyện về hai con người tưởng chừng như ở hai thế giới khác nhau nhưng nhờ một “biến cố” mà đã tìm thấy tình yêu của đời mình.,"['Jun Phạm', 'Khả Ngân', 'Lê Tam Triều Dâng', 'B Trần', 'Gin Tuấn Kiệt', 'NSƯT Mỹ Uyên', 'Chiều Xuân']",99phút
11 Niềm Hy Vọng,74%,Robie Trường,"Lấy bối cảnh giả định tại một thành phố biển năng động của Việt Nam, nơi diễn ra giải đấu bóng đá uy tín giữa các nước trong khu vực, phim là cuộc hành trình đi tìm chính mình của Phong (Nhan Phúc Vinh), một cầu thủ dự bị luôn mang trong mình tình yêu cháy bỏng dành cho bóng đá. Trên con đường theo đuổi đam mê, anh vấp phải sự ngăn cản từ gia đình, những thử thách của cuộc sống, tình yêu, tình bạn… Đôi khi nó đẩy anh và đồng đội của mình đến những cám dỗ khôn lường. Khoác lên mình màu áo đỏ kiêu hãnh, niềm tự hào của dân tộc, liệu cả đội có trở thành những chiến binh, chiến đấu cho màu cờ sắc áo?","['Nhan Phúc Vinh', 'Hoàng Phi', 'Hiếu Nguyễn', 'Hùng Chilhyun', 'Rima Thanh Vy', 'Thanh Tú', 'Lâm Thắng', 'Võ Hoài Nam', 'NSUT Công Ninh', 'Trọng Hải']",110phút
Yêu Nữ Siêu Quậy,50%,Nguyễn Ngọc Hùng,"Câu chuyện cảm động về tình yêu khi người em yêu thầm người anh nuôi. Trong khi đó, Khanh chỉ xem Ngân như là người thân duy nhất, người em nũng nịu của mình mà thôi. Và tình yêu, Khanh chỉ dành duy nhất cho Lê Trinh. Với Ngân, tình cảm thắm thiết giữa hai anh em từ nhỏ, với trò chơi cô dâu chú rể ngây thơ, cho đến sự chăm sóc ân cần của Khanh khi bố mất đi càng làm cho Ngân nhầm tưởng Khanh chính là tình yêu của đời mình.","['Diệu Nhi', 'Thuận Nguyễn', 'Khả Như', 'Khương Ngọc', 'La Thành', 'Gia Bảo', 'Đỗ Duy Nam', 'Hải Triều', 'Tiểu Bảo Quốc', 'Trung Dân']",90phút
Nhắm Mắt Thấy Mùa Hè,87%,Cao Thúy Nhi,"Nhắm Mắt Thấy Mùa Hè là hành trình của cô gái tên Hạ khi đến thị trấn Higashikawa, Hokkaido, Nhật Bản để tìm cha. Hành trình của Hạ bước hướng mới – khám phá vùng đất có tuyết rơi vào mùa hè, nơi cha cô sống trong thời gian dài và tại đây Hạ gặp chàng trai Nhật Bản – Akira.","['Phương Anh Đào', 'Noriki Takimoto', 'Norihiko Takimoto', 'chú chó Hana', 'Ben Phạm', 'Sayaka Mitsuta', 'Mizuki Miyauchi', 'Akira Hatsusegawa', 'Diễm Thi', 'Khánh Ngân', 'Takafumi Akutsu', 'NSUT Công Ninh']",98phút
Em Gái Mưa,68%,Kawaii Nguyễn Tuấn Anh,"Câu chuyện lấy bối cảnh những năm đầu 2000 về Nguyễn Hà Vy, cô nữ sinh lớp 12A1 trường trung học Thanh Xuân tưởng chừng như sẽ ""kết thúc hời học sinh trong nhạt nhẽo"" mà không có lấy cho riêng mình một “kỷ niệm sâu sắc” nào thì bỗng gặp được thầy Minh Vũ trong đoàn giáo sinh đến trường thực tập.","['Mai Tài Phến', 'Lê Thùy LInh', 'Phương Anh Đào', 'Tiến Vũ', 'Misoa', 'Trang Hý', 'Đan Trường', 'Việt Hương', 'Hương Tràm', 'NSUT Công Ninh', 'Trung Dân']",102phút
Ống Kính Sát Nhân,83%,Hứa Vĩ Văn,"K là thanh tra sáng giá nhất ở đồn cảnh sát. Anh say mê công việc, dường như cuộc sống không có gì ngoài giải quyết các vụ án phức tạp. Nhưng không may, một sự cố hi hữu khiến anh gián tiếp gây ra cái chết cho một nữ đồng nghiệp. Từ đây, uy tín của K bắt đầu xuống dốc.","['Hứa Vĩ Văn', 'Diễm My 9x', 'Kinh Quốc', 'Nguyễn Chánh Tín', 'Thương Tín', 'NSUT Công Ninh', 'Quang Sự']",110phút
Lộ Mặt,25%,Vĩnh Thuyên,"Phong trong một lần đi giao dịch “hàng” đã cầm nhầm túi của Trâm. Mặc dù đã tráo lại túi về nhưng ông Đại của Phong vẫn quyết tâm thủ tiêu Trâm để bịt đầu mối. Phong nhận nhiệm vụ, nhưng càng về sau lại nảy sinh tình cảm với Trâm. Đứng trước giữa hai sự lựa chọn, Phong sẽ quyết định như thế nào?.","['Minh Luân', 'Vĩnh Thuyên Kim', 'Hứa Minh Đạt', 'Mạc Văn Khoa', 'Lâm Vỹ Dạ']",90phút
Trường Học Bá Vương,36%,Duy Joseph,"Diệp – một sát thủ siêu cấp bị truy sát và bất ngờ phải ngụy trang dưới hình dạng của một cậu học sinh trong một lớp học vô cùng bá đạo. Tại đây anh liên tục gặp phải những tình huống dở khóc, dở cười từ sự nghịch ngợm “ngoài sức tưởng tượng” của đám nhất quỷ nhì ma này. Và khi anh bắt đầu có tình cảm gắn bó với những con người của cuộc sống mới, cũng như tìm lại được những giá trị sống đích thực cho chính bản thân mình thì cũng là lúc cả ngôi trường bị đặt vào một tình huống vô cùng nguy hiểm…","['Wean Lê', 'Lê Hạ Anh', 'Nhan Phúc Vinh', 'Ngọc Thanh Tâm', 'Quỳnh Chi', 'Gin Tuấn Kiệt', 'Tùng Min']",98phút
Tìm Vợ Cho Bà,73%,Lương Trung Tín,"Long – một công tử nhà giàu, hào hoa số 1, nhưng không bao giờ tin vào điều gọi là ""tình yêu vĩnh cửu"". Vào sinh nhật tuổi 25 của mình, Long bị giang hồ truy đuổi vì món nợ cờ bạc khổng lồ. Nhưng anh sực nhớ đến lời hứa về việc thừa hưởng tài của bà nội. Oái ăm thay, điều kiện để anh có thể có được số gia sản khổng lồ đó là anh phải cưới vợ vào năm 25 tuổi ...","['ST 365', 'Jang Mi', 'POM', 'Tiểu Bảo Quốc']",87phút
Song Lang,100%,Leon Quang Lê,"Song Lang lấy bối cảnh vào những năm 70 - 80 của thế kỷ trước, xoay quanh những câu chuyện về đoàn cải lương Thiên Lý.","['Isaac', 'Liên Bỉnh Phát', 'Tú Quyên', 'Thanh Tú', 'Kiều Trinh']",101phút
Chàng Vợ Của Em,95%,Charlie Nguyễn,"Cuộc sống thú vị của một gia đình có người đàn ông làm hậu phương vững chắc, để người phụ nữ đi “chinh chiến” bên ngoài.","['Thái Hoà', 'Phương Anh Đào', 'Thanh Trúc', 'Hứa Vĩ Văn', 'Vân Trang', 'Hồng Hạnh', 'Diễm My', 'Trung Dũng']",120phút
Mùa Viết Tình Ca,92%,Thắng Vũ,"Mùa Viết Tình Ca không phải là sân khấu toả sáng của bất cứ ai mà là bản hoà phối dành cho tất cả nhân vật, phim cũng không đặt các nhân vật vào giữa ánh hào quang và sự săn đón của showbiz mà đưa họ đi thật xa.","['Isaac', 'Phan Ngân', 'Suni Hạ Linh', 'Chí Tài', 'Phi Phụng', 'Hoàng Phi', 'Puka']",104phút
Hoán Đổi,93%,Võ Thanh Hòa,"Câu chuyện về sự hoán đổi thân xác giữa 2 người nhân vật: ca sỹ Tiên Tiên và võ sư Mai Ngọc Hoa, chính sự hoán đổi này đã gây ra nhiều tình huống dở khóc, dở cười vì sự hiểu lầm của các nhân vật xung quanh. Ban đầu 2 nhân vật rất bỡ ngỡ vì sự hoán đổi này nên rất ghét nhau nhưng theo thời gian khi ở trong thân xác của đối phương, họ lại vô tình nhận ra được  những sai lầm của bản thân. Liệu họ có thể sữa chữa sai lầm và quay trở lại với thân xác của mình không?","['Nabi Nhã Phương', 'bé Kim Thư', 'La Thành', 'Việt Hương', 'Ngô Kiến Huy', 'Trấn Thành', 'Mai Bảo Ngọc', 'Huỳnh Lập', 'Hứa Minh Đạt', 'Khả Như']",97phút
Bao Giờ Hết Ế,91%,Nguyễn Thành Vinh,"Thiên Kim - cô con gái độc nhất của gia tộc dính phải lời nguyền ""Yêu vào là chết"" nhưng thường xuyên bị gia đình mình: bà cố, bà ngoại và mẹ thúc giục chuyện hẹn hò, cưới xin.","['Thúy Vân', 'Đình Quân', 'Nguyễn Anh Tú', 'NSUT Thanh Hằng', 'Đàm Phương Linh', 'NSND Ngọc Giàu', 'NSUT Thoại Mỹ', 'NSƯT Thanh Nam', 'Cẩm Hà', 'Lâm Thắng', 'Hồng Thanh', 'Phát La', 'Hamiza', 'Long Đẹp Trai', 'Sỹ Toàn']",85phút
Chú Ơi Đừng Lấy Mẹ Con,10%,Đinh Tuấn Vũ,"Chú Ơi Đừng Lấy Mẹ Con là câu chuyện về Nhện, cậu học sinh tiểu học hiếu động. Từ nhỏ, Nhện sống với mẹ và được gia đình ngoại vô cùng yêu thương, chiều chuộng. Bỗng một ngày, Tiên – mẹ của Nhện – dẫn về một người đàn ông có tên Đông Bắc. Không chỉ có người đàn ông ấy, mà còn kéo theo cả một cô bé điệu đà và mít ướt tên Bảo Ngọc. Hai con người xa lạ ấy đã làm cuộc sống yên ả của Nhện trở nên xáo trộn với rất nhiều điều khó nói.","['An Nguy', 'Kiều Minh Tuấn', 'Hữu Khang', 'Will 365', 'Chu Diệp Anh', 'Lilly Nguyễn']",95phút
Kế Hoạch Đổi Chồng,77%,Trần Nhân Kiên,Tiếng sét ái tình đã khiến Thu Dung và Trọng Quân yêu và cưới nhau khi cả hai còn rất trẻ. Nhưng mọi chuyện thay đổi khi tình cảm của Quân dần phai nhạt sau cuộc hôn nhân 5 năm giữa họ. Quân bắt đầu tìm mọi cách để Dung chủ động nói lời chia tay mình.,"['Hoàng Yến Chibi', 'Quang Đăng', 'Trương Thanh Long']",90phút
Đi Tìm Phong,50%,Swann Dubus,Hành trình chuyển giới đầy chân thật và xúc động.,"['Anh Phong le', 'Lê Quốc Phong']",7.9IMDb
Quý Cô Thừa Kế,67%,Nguyễn Hoàng Duy,"Nhung, một cô tiểu thư đỏng đảnh, không biết cách đối xử với những người xung quanh, không kỹ năng về nữ công gia chánh. Để giúp cháu gái mình trở thành một người tốt hơn, bà ngoại của Nhung lên kế hoạch để giúp cháu gái trở thành người tốt hơn.","['Ngân Khánh', 'Song Luân', 'Sĩ Thanh', 'Quang Minh', 'Hồng Đào', 'Liên Bỉnh Phát']",110phút
Người Bất Tử,71%,Victor Vũ,Câu chuyện về cuộc đời thăng trầm với đầy rẫy những tham vọng và sự thù hận của Hùng – người đàn ông đã sống qua ba thế kỉ.,"['Quách Ngọc Ngoan', 'Ngọc Diệp', 'Jun Vũ', 'Thanh Tú', 'Cường Seven', 'Trương Thế Vinh', 'Chiều Xuân', 'Bùi Bài Bình', 'Vũ Tuấn Việt', 'Francois Negret']",130phút
Lời Kết Bạn Chết Chóc,80%,Roland Nguyễn Nhân,"Phong, Thảo và Thắng: những người bạn trẻ thường xuyên sử dụng mạng xã hội để liên lạc, giao tiếp với bạn bè, đồng thời cũng là nơi đăng tải những trạng thái cảm xúc của mình mỗi ngày. Tuy nhiên chẳng ai ngờ rằng, một kẻ lạ mặt đứng đằng sau tài khoản có tên là Dream Man đã xuất hiện, chuẩn bị gieo rắc nỗi khiếp sợ đến từng người trong số họ.","['Thanh Duy', 'Thanh Tú', 'Lý Bình', 'Đàm Phương Linh', 'Nguyễn Anh Tú']",94phút
Thạch Thảo,50%,,Một bộ phim tình cảm lãng mạn về tình yêu của cậu bé Thạch và cô bé Thảo. Tình yêu của họ cũng lãng mạn như ý nghĩa của hoa Thạch Thảo.,"['Tùng Maru', 'Lâm Văn Quốc', 'Nguyễn Gia Linh', 'Võ Ngọc Diệu Minh', 'Lê Ngọc Phương Quỳnh', 'Hứa Nhật Khánh Uyên', 'Mai Ngô', 'Quốc Thái', 'Nguyễn Anh Tú', 'Bích Ngọc', 'Khắc Minh']",96phút
Vai Diễn Đổi Đời,50%,Nguyễn Đức Minh,"Mai là cô gái Việt kiều sống ở California và đang theo đuổi ước mơ trở thành diễn viên nổi tiếng. Một ngày, cô đọc trên báo thấy có buổi casting tuyển diễn viên. Người đăng tuyển là ông Vũ, một người đàn ông giàu có sống trong một ngôi nhà rộng lớn nhưng góa vợ. Sắp đến dịp kỷ niệm ngày cưới với người vợ năm xưa, ông Vũ muốn tìm một cô gái đóng vai vợ mình và tái hiện lại những ký ức ngày xưa.","['Thiên Nguyễn', 'Long Nguyen']",
Chị Trợ Lý Của Anh,50%,,Chưa có thông tin,No actor,
Cánh Diều Mưa,50%,Cường Ngô,"Câu chuyện tình yêu đẹp, trắc trở giữa đôi tình nhân trẻ tuổi với những cảm xúc dịu dàng, say đắm nhưng cũng nhiều gian truân","['Đan Nguyên', 'Marcus Guilhem', 'Lilly Nguyễn', 'Lâm Vissay']",
Gái Già Lắm Chiêu 2,50%,Bảo Nhân,Khi máy bay bà già sụp bẫy phi công trẻ!,"['Ninh Dương Lan Ngọc', 'Phương Lan', 'Thùy Anh', 'Thoại Tiên', 'Diễm My', 'Hứa Minh Đạt', 'Lê Xuân Tiền']",
"Hồn Papa, Da Con Gái",50%,Ken Ochiai,"Sau khi hoán đổi cơ thể cho nhau, một người cha mãi không chịu lớn và cô con gái tính tình như “bà cụ non” phải học cách sống đúng với tuổi của mình để trở về cơ thể cũ.","['Thái Hoà', 'Kaity Nguyễn', 'Kathy Uyên', 'Vân Trang', 'Trang Hý', 'Trịnh Thảo', 'Huy Khánh', 'Chí Tài', 'NSUT Thành Lộc', 'Hồng Vân', 'Tuyền Mập', 'Chí Tâm', 'Tùng Leo', 'Lê Bình']",
Thiên Linh Cái,50%,Hàm Trần,Chưa có thông tin,['Hoàng Yến Chibi'],
